Date,Location,Category,Dollar Value ('000s')
2017-01-01,Canada,Live animals or animal products,259695
2017-02-01,Canada,Live animals or animal products,233977
2017-03-01,Canada,Live animals or animal products,274930
2017-04-01,Canada,Live animals or animal products,268410
2017-05-01,Canada,Live animals or animal products,287065
2017-06-01,Canada,Live animals or animal products,302332
2017-07-01,Canada,Live animals or animal products,332331
2017-08-01,Canada,Live animals or animal products,373504
2017-09-01,Canada,Live animals or animal products,334291
2017-10-01,Canada,Live animals or animal products,370595
2017-11-01,Canada,Live animals or animal products,367123
2017-12-01,Canada,Live animals or animal products,292341
2018-01-01,Canada,Live animals or animal products,224686
2018-02-01,Canada,Live animals or animal products,232115
2018-03-01,Canada,Live animals or animal products,274116
2018-04-01,Canada,Live animals or animal products,256347
2018-05-01,Canada,Live animals or animal products,288817
2018-06-01,Canada,Live animals or animal products,281431
2018-07-01,Canada,Live animals or animal products,347871
2018-08-01,Canada,Live animals or animal products,379227
2018-09-01,Canada,Live animals or animal products,368051
2018-10-01,Canada,Live animals or animal products,388104
2018-11-01,Canada,Live animals or animal products,335383
2018-12-01,Canada,Live animals or animal products,268373
2019-01-01,Canada,Live animals or animal products,250726
2019-02-01,Canada,Live animals or animal products,213902
2019-03-01,Canada,Live animals or animal products,261163
2019-04-01,Canada,Live animals or animal products,259030
2019-05-01,Canada,Live animals or animal products,271870
2019-06-01,Canada,Live animals or animal products,272049
2019-07-01,Canada,Live animals or animal products,297196
2019-08-01,Canada,Live animals or animal products,388655
2019-09-01,Canada,Live animals or animal products,384582
2019-10-01,Canada,Live animals or animal products,424830
2019-11-01,Canada,Live animals or animal products,376321
2019-12-01,Canada,Live animals or animal products,292335
2020-01-01,Canada,Live animals or animal products,288774
2020-02-01,Canada,Live animals or animal products,245367
2020-03-01,Canada,Live animals or animal products,313629
2020-04-01,Canada,Live animals or animal products,264402
2020-05-01,Canada,Live animals or animal products,272246
2020-06-01,Canada,Live animals or animal products,279842
2020-07-01,Canada,Live animals or animal products,343790
2020-08-01,Canada,Live animals or animal products,355073
2020-09-01,Canada,Live animals or animal products,362237
2020-10-01,Canada,Live animals or animal products,400705
2020-11-01,Canada,Live animals or animal products,332876
2020-12-01,Canada,Live animals or animal products,278095
2021-01-01,Canada,Live animals or animal products,270804
2021-02-01,Canada,Live animals or animal products,265517
