Date,Location,Unemployment Rate,Unemployment ('000s),Sector
2017-01,Canada,7.2,1399.1,"Total, all industries"
2017-02,Canada,7.0,1348.5,"Total, all industries"
2017-03,Canada,7.2,1398.5,"Total, all industries"
2017-04,Canada,6.8,1321.4,"Total, all industries"
2017-05,Canada,6.6,1307.5,"Total, all industries"
2017-06,Canada,6.1,1225.0,"Total, all industries"
2017-07,Canada,6.6,1321.0,"Total, all industries"
2017-08,Canada,6.9,1380.0,"Total, all industries"
2017-09,Canada,5.7,1123.5,"Total, all industries"
2017-10,Canada,5.8,1139.8,"Total, all industries"
2017-11,Canada,5.6,1102.6,"Total, all industries"
2017-12,Canada,5.6,1092.7,"Total, all industries"
2018-01,Canada,6.3,1226.9,"Total, all industries"
2018-02,Canada,6.3,1225.6,"Total, all industries"
2018-03,Canada,6.3,1226.7,"Total, all industries"
2018-04,Canada,6.0,1180.5,"Total, all industries"
2018-05,Canada,5.9,1179.1,"Total, all industries"
2018-06,Canada,5.7,1146.4,"Total, all industries"
2018-07,Canada,6.0,1222.3,"Total, all industries"
2018-08,Canada,6.6,1344.1,"Total, all industries"
2018-09,Canada,5.4,1069.7,"Total, all industries"
2018-10,Canada,5.2,1036.7,"Total, all industries"
2018-11,Canada,5.2,1038.7,"Total, all industries"
2018-12,Canada,5.2,1029.7,"Total, all industries"
2019-01,Canada,6.2,1220.7,"Total, all industries"
2019-02,Canada,6.1,1211.5,"Total, all industries"
2019-03,Canada,6.3,1256.5,"Total, all industries"
2019-04,Canada,5.9,1194.3,"Total, all industries"
2019-05,Canada,5.5,1129.7,"Total, all industries"
2019-06,Canada,5.3,1092.2,"Total, all industries"
2019-07,Canada,6.0,1229.2,"Total, all industries"
2019-08,Canada,6.4,1316.9,"Total, all industries"
2019-09,Canada,5.1,1039.8,"Total, all industries"
2019-10,Canada,5.0,1020.6,"Total, all industries"
2019-11,Canada,5.4,1095.1,"Total, all industries"
2019-12,Canada,5.1,1038.4,"Total, all industries"
2020-01,Canada,5.9,1190.2,"Total, all industries"
2020-02,Canada,6.0,1214.5,"Total, all industries"
2020-03,Canada,8.9,1743.3,"Total, all industries"
2020-04,Canada,14.0,2596.2,"Total, all industries"
2020-05,Canada,14.3,2759.3,"Total, all industries"
2020-06,Canada,11.9,2408.4,"Total, all industries"
2020-07,Canada,11.4,2318.0,"Total, all industries"
2020-08,Canada,11.1,2270.3,"Total, all industries"
2020-09,Canada,8.4,1712.0,"Total, all industries"
2020-10,Canada,8.2,1659.2,"Total, all industries"
2020-11,Canada,8.0,1620.4,"Total, all industries"
2020-12,Canada,8.2,1654.3,"Total, all industries"
2021-01,Canada,9.9,1968.0,"Total, all industries"
2021-02,Canada,8.8,1771.7,"Total, all industries"
2021-03,Canada,8.2,1663.5,"Total, all industries"
2021-04,Canada,8.4,1700.2,"Total, all industries"
2021-05,Canada,8.4,1724.0,"Total, all industries"
2021-06,Canada,7.4,1544.8,"Total, all industries"
2021-07,Canada,7.7,1612.7,"Total, all industries"
2021-08,Canada,8.1,1684.7,"Total, all industries"
2021-09,Canada,6.5,1334.2,"Total, all industries"
2021-10,Canada,5.9,1210.1,"Total, all industries"
2021-11,Canada,5.7,1169.3,"Total, all industries"
2021-12,Canada,5.5,1119.6,"Total, all industries"
2022-01,Canada,7.0,1413.4,"Total, all industries"
2022-02,Canada,5.7,1169.6,"Total, all industries"
2022-03,Canada,5.7,1171.5,"Total, all industries"
2022-04,Canada,5.5,1127.8,"Total, all industries"
2022-05,Canada,5.1,1072.3,"Total, all industries"
2022-06,Canada,4.7,990.5,"Total, all industries"
2022-07,Canada,5.2,1089.9,"Total, all industries"
2022-08,Canada,6.0,1259.1,"Total, all industries"
2022-09,Canada,4.8,986.0,"Total, all industries"
2022-10,Canada,4.7,978.2,"Total, all industries"
2022-11,Canada,4.7,975.4,"Total, all industries"
2022-12,Canada,4.5,938.3,"Total, all industries"
2023-01,Canada,5.5,1136.1,"Total, all industries"
2023-02,Canada,5.3,1100.8,"Total, all industries"
2023-03,Canada,5.4,1123.6,"Total, all industries"
2023-04,Canada,5.2,1093.5,"Total, all industries"
2023-05,Canada,5.2,1118.0,"Total, all industries"
2023-06,Canada,5.2,1118.9,"Total, all industries"
2023-07,Canada,5.9,1283.2,"Total, all industries"
2023-08,Canada,6.3,1362.7,"Total, all industries"
2023-09,Canada,5.2,1110.7,"Total, all industries"
2023-10,Canada,5.3,1136.2,"Total, all industries"
2023-11,Canada,5.3,1145.2,"Total, all industries"
2023-12,Canada,5.3,1129.3,"Total, all industries"
2024-01,Canada,6.1,1311.2,"Total, all industries"
2024-02,Canada,6.0,1297.1,"Total, all industries"
2024-03,Canada,6.4,1390.6,"Total, all industries"
2017-01,Canada,8.6,346.4,Goods-producing sector
2017-02,Canada,7.9,315.9,Goods-producing sector
2017-03,Canada,8.4,338.1,Goods-producing sector
2017-04,Canada,7.8,318.7,Goods-producing sector
2017-05,Canada,5.4,226.6,Goods-producing sector
2017-06,Canada,4.6,196.2,Goods-producing sector
2017-07,Canada,4.7,202.6,Goods-producing sector
2017-08,Canada,4.5,191.3,Goods-producing sector
2017-09,Canada,3.9,163.0,Goods-producing sector
2017-10,Canada,4.3,180.8,Goods-producing sector
2017-11,Canada,4.7,196.0,Goods-producing sector
2017-12,Canada,4.9,204.6,Goods-producing sector
2018-01,Canada,7.0,287.1,Goods-producing sector
2018-02,Canada,7.1,288.9,Goods-producing sector
2018-03,Canada,7.1,293.1,Goods-producing sector
2018-04,Canada,6.2,257.4,Goods-producing sector
2018-05,Canada,4.9,205.8,Goods-producing sector
2018-06,Canada,4.2,180.0,Goods-producing sector
2018-07,Canada,4.3,182.9,Goods-producing sector
2018-08,Canada,4.3,185.5,Goods-producing sector
2018-09,Canada,3.7,155.8,Goods-producing sector
2018-10,Canada,3.8,158.8,Goods-producing sector
2018-11,Canada,4.3,182.2,Goods-producing sector
2018-12,Canada,5.1,212.3,Goods-producing sector
2019-01,Canada,7.1,290.3,Goods-producing sector
2019-02,Canada,7.0,287.5,Goods-producing sector
2019-03,Canada,7.1,289.2,Goods-producing sector
2019-04,Canada,6.5,273.1,Goods-producing sector
2019-05,Canada,4.9,207.7,Goods-producing sector
2019-06,Canada,4.1,177.1,Goods-producing sector
2019-07,Canada,4.3,187.5,Goods-producing sector
2019-08,Canada,3.9,169.6,Goods-producing sector
2019-09,Canada,3.6,152.5,Goods-producing sector
2019-10,Canada,4.1,174.1,Goods-producing sector
2019-11,Canada,4.9,204.0,Goods-producing sector
2019-12,Canada,5.4,224.5,Goods-producing sector
2020-01,Canada,6.9,285.3,Goods-producing sector
2020-02,Canada,6.5,266.3,Goods-producing sector
2020-03,Canada,7.7,313.7,Goods-producing sector
2020-04,Canada,16.8,655.7,Goods-producing sector
2020-05,Canada,12.6,515.4,Goods-producing sector
2020-06,Canada,9.2,385.1,Goods-producing sector
2020-07,Canada,7.6,320.6,Goods-producing sector
2020-08,Canada,6.5,272.3,Goods-producing sector
2020-09,Canada,5.3,220.2,Goods-producing sector
2020-10,Canada,6.1,255.8,Goods-producing sector
2020-11,Canada,6.4,267.5,Goods-producing sector
2020-12,Canada,6.8,284.1,Goods-producing sector
2021-01,Canada,8.7,357.2,Goods-producing sector
2021-02,Canada,7.5,307.9,Goods-producing sector
2021-03,Canada,7.4,305.7,Goods-producing sector
2021-04,Canada,6.6,270.7,Goods-producing sector
2021-05,Canada,4.8,199.4,Goods-producing sector
2021-06,Canada,4.2,177.4,Goods-producing sector
2021-07,Canada,4.1,175.4,Goods-producing sector
2021-08,Canada,3.9,164.2,Goods-producing sector
2021-09,Canada,3.9,161.6,Goods-producing sector
2021-10,Canada,3.6,148.6,Goods-producing sector
2021-11,Canada,4.4,181.5,Goods-producing sector
2021-12,Canada,4.2,170.2,Goods-producing sector
2022-01,Canada,5.9,241.8,Goods-producing sector
2022-02,Canada,5.2,213.5,Goods-producing sector
2022-03,Canada,4.9,201.8,Goods-producing sector
2022-04,Canada,4.7,195.8,Goods-producing sector
2022-05,Canada,3.7,159.4,Goods-producing sector
2022-06,Canada,3.2,136.5,Goods-producing sector
2022-07,Canada,2.7,119.5,Goods-producing sector
2022-08,Canada,3.3,143.5,Goods-producing sector
2022-09,Canada,3.1,133.4,Goods-producing sector
2022-10,Canada,3.3,141.2,Goods-producing sector
2022-11,Canada,3.5,149.5,Goods-producing sector
2022-12,Canada,3.8,162.0,Goods-producing sector
2023-01,Canada,5.4,229.1,Goods-producing sector
2023-02,Canada,5.5,231.8,Goods-producing sector
2023-03,Canada,5.4,229.9,Goods-producing sector
2023-04,Canada,5.0,210.9,Goods-producing sector
2023-05,Canada,3.7,161.2,Goods-producing sector
2023-06,Canada,3.6,159.4,Goods-producing sector
2023-07,Canada,3.4,151.3,Goods-producing sector
2023-08,Canada,3.3,144.8,Goods-producing sector
2023-09,Canada,3.6,154.2,Goods-producing sector
2023-10,Canada,3.8,165.1,Goods-producing sector
2023-11,Canada,4.2,181.6,Goods-producing sector
2023-12,Canada,4.9,208.0,Goods-producing sector
2024-01,Canada,6.2,261.7,Goods-producing sector
2024-02,Canada,5.6,233.5,Goods-producing sector
2024-03,Canada,5.8,246.7,Goods-producing sector
2017-01,Canada,7.3,20.5,Agriculture
2017-02,Canada,7.4,21.0,Agriculture
2017-03,Canada,7.3,20.6,Agriculture
2017-04,Canada,6.5,19.0,Agriculture
2017-05,Canada,3.8,11.6,Agriculture
2017-06,Canada,3.6,10.9,Agriculture
2017-07,Canada,2.9,9.0,Agriculture
2017-08,Canada,2.5,7.8,Agriculture
2017-09,Canada,2.6,7.6,Agriculture
2017-10,Canada,3.8,11.0,Agriculture
2017-11,Canada,4.3,12.0,Agriculture
