"REF_DATE","GEO","DGUID","Trade","United States","Harmonized System (HS) Sections","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","259695","","","","0"
"2017-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","233977","","","","0"
"2017-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","274930","","","","0"
"2017-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","268410","","","","0"
"2017-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","287065","","","","0"
"2017-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","302332","","","","0"
"2017-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","332331","","","","0"
"2017-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","373504","","","","0"
"2017-09","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","334291","","","","0"
"2017-10","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","370595","","","","0"
"2017-11","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","367123","","","","0"
"2017-12","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","292341","","","","0"
"2018-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","224686","","","","0"
"2018-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","232115","","","","0"
"2018-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","274116","","","","0"
"2018-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","256347","","","","0"
"2018-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","288817","","","","0"
"2018-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","281431","","","","0"
"2018-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","347871","","","","0"
"2018-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","379227","","","","0"
"2018-09","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","368051","","","","0"
"2018-10","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","388104","","","","0"
"2018-11","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","335383","","","","0"
"2018-12","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","268373","","","","0"
"2019-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","250726","","","","0"
"2019-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","213902","","","","0"
"2019-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","261163","","","","0"
"2019-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","259030","","","","0"
"2019-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","271870","","","","0"
"2019-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","272049","","","","0"
"2019-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","297196","","","","0"
"2019-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","388655","","","","0"
"2019-09","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","384582","","","","0"
"2019-10","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","424830","","","","0"
"2019-11","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","376321","","","","0"
"2019-12","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","292335","","","","0"
"2020-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","288774","","","","0"
"2020-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","245367","","","","0"
"2020-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","313629","","","","0"
"2020-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","264402","","","","0"
"2020-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","272246","","","","0"
"2020-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","279842","","","","0"
"2020-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","343790","","","","0"
"2020-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","355073","","","","0"
"2020-09","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","362237","","","","0"
"2020-10","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","400705","","","","0"
"2020-11","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","332876","","","","0"
"2020-12","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","278095","","","","0"
"2021-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","270804","","","","0"
"2021-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","265517","","","","0"
"2021-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","327249","","","","0"
"2021-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","293752","","","","0"
"2021-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","302327","","","","0"
"2021-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","322673","","","","0"
"2021-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","428776","","","","0"
"2021-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","466548","","","","0"
"2021-09","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","517369","","","","0"
"2021-10","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","490769","","","","0"
"2021-11","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","404322","","","","0"
"2021-12","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","359668","","","","0"
"2022-01","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","289692","","","","0"
"2022-02","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","283175","","","","0"
"2022-03","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","349103","","","","0"
"2022-04","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","348831","","","","0"
"2022-05","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","356120","","","","0"
"2022-06","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","343838","","","","0"
"2022-07","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","397023","","","","0"
"2022-08","Canada","2016A000011124","Total imports","Total United States","I - Live animals and animal products","Dollars","81","thousands","3","v113371980","1.4.1.2","439967","","","","0"
